version,section,function,length,matching
us.v10,.core1,func_80250E6C,40,yes
us.v10,.core1,rarezip_inflate,36,yes
us.v10,.core1,func_8025498C,48,yes
us.v10,.core1,osSpTaskLoad,400,yes
us.v10,.core1,func_80246A14,80,yes
us.v10,.core1,__osSetCompare,16,yes
us.v10,.core1,func_80252E4C,124,yes
us.v10,.core1,func_80245FB8,796,yes
us.v10,.core1,func_802449C4,32,yes
us.v10,.core1,alAudioFrame,664,yes
us.v10,.core1,draw_texture_ci4,776,yes
us.v10,.core1,osViSetSpecialFeatures,440,yes
us.v10,.core1,func_8025727C,424,yes
us.v10,.core1,func_80257918,152,yes
us.v10,.core1,__osTimerServicesInit,140,yes
us.v10,.core1,func_80252EC8,136,yes
us.v10,.core1,func_80257DB0,100,yes
us.v10,.core1,rarezip_uncompress,36,yes
us.v10,.core1,func_80255198,104,yes
us.v10,.core1,draw_sprite_rgba32,888,yes
us.v10,.core1,func_8025801C,236,yes
us.v10,.core1,func_8024F35C,88,yes
us.v10,.core1,n_alSynAllocFX,88,yes
us.v10,.core1,func_802403F0,328,yes
us.v10,.core1,ml_vec3f_normalize,160,yes
us.v10,.core1,func_80259254,112,yes
us.v10,.core1,func_8024DD34,92,yes
us.v10,.core1,__osSpSetStatus,12,yes
us.v10,.core1,func_80244938,32,yes
us.v10,.core1,func_80244A98,12,yes
us.v10,.core1,osInvalDCache,176,yes
us.v10,.core1,heap_init,316,yes
us.v10,.core1,func_80240924,144,yes
us.v10,.core1,n_alSynStartVoice,128,yes
us.v10,.core1,func_8024DDC0,12,yes
us.v10,.core1,func_802405B8,12,yes
us.v10,.core1,func_80253DC0,32,yes
us.v10,.core1,sns_find_and_parse_payload,160,yes
us.v10,.core1,func_80247224,224,yes
us.v10,.core1,alAdpcmPull,1184,yes
us.v10,.core1,func_80250604,76,yes
us.v10,.core1,alAuxBusParam,48,yes
us.v10,.core1,func_8025AC7C,256,yes
us.v10,.core1,__osSiRawStartDma,172,yes
us.v10,.core1,ml_abs_w,24,yes
us.v10,.core1,memcpy,40,yes
us.v10,.core1,osViBlack,112,yes
us.v10,.core1,osDpSetStatus,12,yes
us.v10,.core1,__n_saveBuffer,300,yes
us.v10,.core1,_loadBuffer,396,yes
us.v10,.core1,func_8023DB5C,12,yes
us.v10,.core1,is_overlay_loaded,20,yes
us.v10,.core1,ml_vec3f_normalize_copy,152,yes
us.v10,.core1,func_802596AC,176,yes
us.v10,.core1,sns_unlock_parsed_items,36,yes
us.v10,.core1,n_alSynDelete,92,yes
us.v10,.core1,n_alMainBusPull,116,yes
us.v10,.core1,func_8024FE44,168,yes
us.v10,.core1,func_80242BE8,1160,no
us.v10,.core1,mlMtxGet,216,yes
us.v10,.core1,__osSiRawWriteIo,76,yes
us.v10,.core1,func_802464B0,96,yes
us.v10,.core1,func_80249DE0,340,yes
us.v10,.core1,alSynAllocFX,152,yes
us.v10,.core1,func_80246624,72,yes
us.v10,.core1,func_802555D0,12,yes
us.v10,.core1,func_802558D8,72,yes
us.v10,.core1,func_80255A20,16,yes
us.v10,.core1,func_80245524,120,yes
us.v10,.core1,n_alSavePull,68,yes
us.v10,.core1,func_802408B0,60,yes
us.v10,.core1,osJamMesg,336,yes
us.v10,.core1,func_80259EA8,212,yes
us.v10,.core1,func_80259198,64,yes
us.v10,.core1,sinf,448,yes
us.v10,.core1,realloc,320,yes
us.v10,.core1,func_8025A7DC,60,yes
us.v10,.core1,func_802403B8,56,yes
us.v10,.core1,mlNormalizeAngle,148,yes
us.v10,.core1,func_8024856C,80,yes
us.v10,.core1,func_80257EA8,48,yes
us.v10,.core1,bcopy,784,yes
us.v10,.core1,func_80247A7C,420,yes
us.v10,.core1,guMtxL2F,180,yes
us.v10,.core1,sns_init_parsing_params,28,yes
us.v10,.core1,func_80259400,48,yes
us.v10,.core1,func_80240754,100,yes
us.v10,.core1,func_8024C1FC,164,yes
us.v10,.core1,ml_min_w,28,yes
us.v10,.core1,func_802542F4,84,yes
us.v10,.core1,func_80250034,20,yes
us.v10,.core1,func_80255E58,188,yes
us.v10,.core1,func_80244C78,80,yes
us.v10,.core1,func_802541E8,116,yes
us.v10,.core1,func_8024A490,212,yes
us.v10,.core1,func_80257204,68,yes
us.v10,.core1,func_802483B8,32,yes
us.v10,.core1,snspayload_finalise_outgoing_payload,84,yes
us.v10,.core1,func_80258368,112,yes
us.v10,.core1,alAuxBusNew,84,yes
us.v10,.core1,osRecvMesg,312,yes
us.v10,.core1,func_8024A928,92,yes
us.v10,.core1,__n_setInstChanState,92,yes
us.v10,.core1,func_802592C4,100,yes
us.v10,.core1,func_80240A74,32,yes
us.v10,.core1,n_alFxPull,744,yes
us.v10,.core1,comusic_8025AB78,64,yes
us.v10,.core1,func_802510B8,8,yes
us.v10,.core1,inflate_dynamic,1316,yes
us.v10,.core1,func_8024A85C,12,yes
us.v10,.core1,alBnkfNew,260,yes
us.v10,.core1,func_80253F94,32,yes
us.v10,.core1,sns_commit_unlocked_flags,416,yes
us.v10,.core1,_init_lpfilter,160,yes
us.v10,.core1,func_80246510,96,yes
us.v10,.core1,func_80256F44,156,yes
us.v10,.core1,func_80257E14,148,yes
us.v10,.core1,func_8024E420,316,yes
us.v10,.core1,osStopThread,192,yes
us.v10,.core1,n_alSynAddSeqPlayer,256,yes
us.v10,.core1,func_8023DF9C,84,yes
us.v10,.core1,func_8024772C,12,yes
us.v10,.core1,func_802524F0,180,yes
us.v10,.core1,ml_vec2f_length,64,yes
us.v10,.core1,alFxPull,832,yes
us.v10,.core1,osEepromLongRead,140,yes
us.v10,.core1,snspayload_calc_checksum,36,yes
us.v10,.core1,func_80255F74,112,yes
us.v10,.core1,func_802479E4,92,yes
us.v10,.core1,n_alSynAddPlayer,92,yes
us.v10,.core1,func_80253DE0,52,yes
us.v10,.core1,func_8024A564,524,yes
us.v10,.core1,func_8024FA98,200,yes
us.v10,.core1,func_802484D0,48,yes
us.v10,.core1,__n_resetPerfChanState,148,yes
us.v10,.core1,alCSPPlay,48,yes
us.v10,.core1,func_80258108,264,yes
us.v10,.core1,n_alAdpcmPull,1176,yes
us.v10,.core1,func_80244860,184,yes
us.v10,.core1,updateOsc,448,yes
us.v10,.core1,func_80254008,32,yes
us.v10,.core1,func_802500FC,8,yes
us.v10,.core1,n_alClose,64,yes
us.v10,.core1,func_8024BD94,12,yes
us.v10,.core1,func_8024560C,336,yes
us.v10,.core1,func_8025A818,76,yes
us.v10,.core1,func_8023E06C,16,yes
us.v10,.core1,osSetEventMesg,104,yes
us.v10,.core1,_n_freePVoice,52,yes
us.v10,.core1,ml_vec3f_add,52,yes
us.v10,.core1,__n_unmapVoice,112,yes
us.v10,.core1,func_8024DE1C,532,no
us.v10,.core1,__osTimerInterrupt,376,yes
us.v10,.core1,func_8024549C,136,yes
us.v10,.core1,osEPiRawReadIo,80,yes
us.v10,.core1,func_8024E55C,76,yes
us.v10,.core1,func_802405D0,12,yes
us.v10,.core1,osMotorInit,452,yes
us.v10,.core1,func_8024DD90,12,yes
us.v10,.core1,func_80259BD0,728,yes
us.v10,.core1,func_802559A0,100,yes
us.v10,.core1,n_alCSeqNew,276,yes
us.v10,.core1,sns_stub,8,yes
us.v10,.core1,func_80251738,80,yes
us.v10,.core1,osCreateThread,324,yes
us.v10,.core1,func_80253208,504,yes
us.v10,.core1,func_802516E0,88,yes
us.v10,.core1,func_802451A4,368,yes
us.v10,.core1,func_80253034,28,yes
us.v10,.core1,func_8025AEA0,76,yes
us.v10,.core1,func_80241928,2988,no
us.v10,.core1,func_80250D8C,8,yes
us.v10,.core1,guMtxIdent,48,yes
us.v10,.core1,func_80255300,64,yes
us.v10,.core1,rarezip_get_uncompressed_size,12,yes
us.v10,.core1,pfsManager_getFrameReplyQ,12,yes
us.v10,.core1,malloc,744,yes
us.v10,.core1,func_8024CC5C,104,yes
us.v10,.core1,func_8024BF94,12,yes
us.v10,.core1,func_802471D8,20,yes
us.v10,.core1,guTranslate,84,yes
us.v10,.core1,func_8024F150,48,yes
us.v10,.core1,func_8025357C,44,yes
us.v10,.core1,ml_acosf,380,yes
us.v10,.core1,func_80255ACC,24,yes
us.v10,.core1,func_80255F14,96,yes
us.v10,.core1,audioManager_getFrameMesgQueue,12,yes
us.v10,.core1,func_802483D8,44,yes
us.v10,.core1,func_802458E0,152,yes
us.v10,.core1,n_alCSPNew,364,yes
us.v10,.core1,func_8025A104,164,yes
us.v10,.core1,sns_update_global_save_data_checksum,88,yes
us.v10,.core1,func_8024BD40,52,yes
us.v10,.core1,draw_sprite_i8,536,yes
us.v10,.core1,sns_backup_items_and_unlock_all,232,yes
us.v10,.core1,__osViInit,316,yes
us.v10,.core1,func_80255A3C,144,yes
us.v10,.core1,write_file_blocks,124,yes
us.v10,.core1,func_80254404,96,yes
us.v10,.core1,func_8025901C,380,yes
us.v10,.core1,sns_set_item_and_update_payload,48,yes
us.v10,.core1,func_8024E258,164,yes
us.v10,.core1,func_8025208C,252,yes
us.v10,.core1,guMtxF2L,256,yes
us.v10,.core1,func_80253E14,144,yes
us.v10,.core1,func_8024FD28,180,yes
us.v10,.core1,osSetThreadPri,224,yes
us.v10,.core1,osEepromRead,596,yes
us.v10,.core1,n_alFxNew,1072,yes
us.v10,.core1,_ldexpf,40,yes
us.v10,.core1,_doModFunc,168,yes
us.v10,.core1,func_8025A864,84,yes
us.v10,.core1,_filterBuffer,184,yes
us.v10,.core1,func_80255200,256,yes
us.v10,.core1,snspayload_validate,84,yes
us.v10,.core1,func_80253A58,776,yes
us.v10,.core1,_n_loadOutputBuffer,540,yes
us.v10,.core1,func_80259A24,240,yes
us.v10,.core1,audioManager_stopThread,56,yes
us.v10,.core1,guRotate,80,yes
us.v10,.core1,func_80259808,36,yes
us.v10,.core1,sns_init_base_payloads,108,yes
us.v10,.core1,__n_mapVoice,112,yes
us.v10,.core1,alHeapInit,52,yes
us.v10,.core1,_heap_defragEmptyBlock,208,yes
us.v10,.core1,func_8025773C,80,yes
us.v10,.core1,func_80255A14,12,yes
us.v10,.core1,func_8025108C,12,yes
us.v10,.core1,alSynNew,768,yes
us.v10,.core1,func_8023FFD4,16,yes
us.v10,.core1,heap_get_size,12,yes
us.v10,.core1,func_8025F5C0,80,yes
us.v10,.core1,stopOsc,24,yes
us.v10,.core1,sns_get_item_state,376,yes
us.v10,.core1,func_80253550,44,yes
us.v10,.core1,n_alSynSetPitch,120,yes
us.v10,.core1,func_80244814,76,yes
us.v10,.core1,func_80244F00,192,yes
us.v10,.core1,func_80246C2C,332,yes
us.v10,.core1,func_8024CE40,32,yes
us.v10,.core1,alClose,56,yes
us.v10,.core1,alSaveParam,52,yes
us.v10,.core1,func_8023DBDC,48,yes
us.v10,.core1,func_8023DB4C,16,yes
us.v10,.core1,func_80257658,40,yes
us.v10,.core1,guScaleF,84,yes
us.v10,.core1,func_80251BCC,84,yes
us.v10,.core1,func_80246844,232,yes
us.v10,.core1,ml_vec3f_assign,32,yes
us.v10,.core1,func_80252330,44,yes
us.v10,.core1,func_80244110,128,yes
us.v10,.core1,pfsManager_isBusy,16,yes
us.v10,.core1,func_80258708,120,yes
us.v10,.core1,func_802584FC,228,yes
us.v10,.core1,func_8024A9EC,196,yes
us.v10,.core1,alCSeqGetLoc,160,yes
us.v10,.core1,__n_allocParam,48,yes
us.v10,.core1,func_80250074,76,yes
us.v10,.core1,alSeqGetTicks,8,yes
us.v10,.core1,audioManager_init,156,yes
us.v10,.core1,ml_vec3f_distance,108,yes
us.v10,.core1,__osPfsRequestData,252,yes
us.v10,.core1,func_80251178,76,yes
us.v10,.core1,func_8024C788,12,yes
us.v10,.core1,osSpTaskYielded,128,yes
us.v10,.core1,func_8024AF48,3520,yes
us.v10,.core1,osSetIntMask,160,yes
us.v10,.core1,audioManager_create,712,yes
us.v10,.core1,osStopTimer,232,yes
us.v10,.core1,inflate,232,yes
us.v10,.core1,alCopy,116,yes
us.v10,.core1,func_80257CF8,56,yes
us.v10,.core1,func_8024CBD4,44,yes
us.v10,.core1,draw_sprite_i4,604,yes
us.v10,.core1,func_8024E640,40,yes
us.v10,.core1,n_alSynStopVoice,108,yes
us.v10,.core1,osCreatePiManager,392,yes
us.v10,.core1,pfsManager_contErr,36,yes
us.v10,.core1,osSpTaskStartGo,64,yes
us.v10,.core1,__osGetSR,16,yes
us.v10,.core1,n_alEnvmixerPull,1488,yes
us.v10,.core1,func_80253EA4,32,yes
us.v10,.core1,func_8025AFD0,8,yes
us.v10,.core1,func_8025A904,104,yes
us.v10,.core1,func_802585E0,96,yes
us.v10,.core1,func_802514BC,280,no
us.v10,.core1,alRaw16Pull,940,yes
us.v10,.core1,func_802424D4,1812,yes
us.v10,.core1,__n_filterBuffer,180,yes
us.v10,.core1,func_8024324C,172,yes
us.v10,.core1,func_8025A6CC,32,yes
us.v10,.core1,mlMtx_apply_vec3s,456,yes
us.v10,.core1,ml_vec3f_distance_squared,92,yes
us.v10,.core1,n_alSynNew,792,yes
us.v10,.core1,__n_initChanState,112,yes
us.v10,.core1,func_80251170,8,yes
us.v10,.core1,__osSiRelAccess,44,yes
us.v10,.core1,func_80257D30,128,yes
us.v10,.core1,func_8025A2D8,36,yes
us.v10,.core1,func_802511C4,108,yes
us.v10,.core1,alEnvmixerNew,164,yes
us.v10,.core1,snspayload_find_payload_in_ram,116,yes
us.v10,.core1,func_80246B0C,136,yes
us.v10,.core1,func_8024AED8,40,yes
us.v10,.core1,func_802459A0,220,yes
us.v10,.core1,func_80253D60,96,yes
us.v10,.core1,func_802535A8,152,yes
us.v10,.core1,__osPfsGetStatus,268,yes
us.v10,.core1,func_80258E60,148,yes
us.v10,.core1,func_80254F90,64,yes
us.v10,.core1,huft_build,1600,yes
us.v10,.core1,func_80254908,88,yes
us.v10,.core1,func_802510A8,8,yes
us.v10,.core1,__osDequeueThread,64,yes
us.v10,.core1,alSeqNewMarker,288,yes
us.v10,.core1,func_80256B54,268,yes
us.v10,.core1,n_alSeqpNew,376,yes
us.v10,.core1,__osDevMgrMain,1168,yes
us.v10,.core1,osContInit,504,yes
us.v10,.core1,func_80256664,220,yes
us.v10,.core1,func_8024C2A0,88,yes
us.v10,.core1,func_8024DDD8,68,yes
us.v10,.core1,func_8025ADD4,56,yes
us.v10,.core1,snspayload_get_key_in_range,164,yes
us.v10,.core1,func_8024A810,48,yes
us.v10,.core1,func_80244978,76,yes
us.v10,.core1,osCartRomInit,244,yes
us.v10,.core1,func_8024BFD8,476,yes
us.v10,.core1,osMapTLBRdb,96,yes
us.v10,.core1,func_80248520,76,yes
us.v10,.core1,func_80258210,220,yes
us.v10,.core1,func_8023DBAC,48,yes
us.v10,.core1,osPfsChecker,1732,yes
us.v10,.core1,guMtxIdentF,136,yes
us.v10,.core1,func_80258EF4,148,yes
us.v10,.core1,ml_vec3f_diff_copy,52,yes
us.v10,.core1,func_8024E7C8,1964,no
us.v10,.core1,__osSiRawReadIo,80,yes
us.v10,.core1,func_80254898,112,yes
us.v10,.core1,func_80254028,92,yes
us.v10,.core1,func_8025AABC,68,yes
us.v10,.core1,ml_vec3f_to_vec3h,60,yes
us.v10,.core1,func_80250D94,216,yes
us.v10,.core1,load_overlay,172,no
us.v10,.core1,n_alSynStartVoiceParams,216,yes
us.v10,.core1,func_802508E0,80,yes
us.v10,.core1,n_alSynAddSndPlayer,116,yes
us.v10,.core1,defrag,328,yes
us.v10,.core1,osPiRawReadIo,84,yes
us.v10,.core1,audioManager_getThread,12,yes
us.v10,.core1,func_80243FE4,108,yes
us.v10,.core1,func_80240BE0,80,yes
us.v10,.core1,func_802513A4,8,yes
us.v10,.core1,func_8024F890,476,yes
us.v10,.core1,mlMtxIdent,80,yes
us.v10,.core1,alAuxBusPull,216,yes
us.v10,.core1,func_80247560,380,yes
us.v10,.core1,func_80247A40,60,yes
us.v10,.core1,func_8024C408,32,yes
us.v10,.core1,func_802499D0,20,yes
us.v10,.core1,ml_sin_deg,48,yes
us.v10,.core1,func_80252C08,188,yes
us.v10,.core1,func_80244AB0,140,yes
us.v10,.core1,func_80254658,120,yes
us.v10,.core1,func_802578A4,116,yes
us.v10,.core1,func_80244E54,172,yes
us.v10,.core1,guLookAtReflect,120,yes
us.v10,.core1,inflate_fixed,360,yes
us.v10,.core1,alHeapDBAlloc,84,yes
us.v10,.core1,func_80247000,472,yes
us.v10,.core1,__osPackRequestData,244,yes
us.v10,.core1,func_8024C1B4,40,yes
us.v10,.core1,func_80255D58,20,yes
us.v10,.core1,rmonPrintf,28,yes
us.v10,.core1,func_8025A70C,124,yes
us.v10,.core1,func_80250C08,124,yes
us.v10,.core1,func_8023DA9C,176,yes
us.v10,.core1,__osPfsGetInitData,208,yes
us.v10,.core1,func_80259994,32,yes
us.v10,.core1,alEvtqNew,132,yes
us.v10,.core1,osSetTimer,212,yes
us.v10,.core1,sns_get_next_key_in_range,128,yes
us.v10,.core1,osViGetCurrentFramebuffer,64,yes
us.v10,.core1,func_8024CDB0,72,yes
us.v10,.core1,func_80258424,216,yes
us.v10,.core1,func_80253FE8,32,yes
us.v10,.core1,func_8023E0E8,8,yes
us.v10,.core1,func_8025982C,128,yes
us.v10,.core1,__n_lookupSoundQuick,328,yes
us.v10,.core1,func_80244D94,192,yes
us.v10,.core1,__n_seqpStopOsc,260,yes
us.v10,.core1,func_80254BC4,12,yes
us.v10,.core1,func_80247F24,120,yes
us.v10,.core1,func_80255524,160,yes
us.v10,.core1,func_8025AE50,80,yes
us.v10,.core1,__osSpDeviceBusy,44,yes
us.v10,.core1,n_alFxParamHdl,604,yes
us.v10,.core1,audioManager_startThread,60,yes
us.v10,.core1,func_80244BB0,200,yes
us.v10,.core1,func_80248500,32,yes
us.v10,.core1,sns_restore_backed_up_items,140,yes
us.v10,.core1,func_802589E4,104,yes
us.v10,.core1,func_802546E4,24,yes
us.v10,.core1,func_8024DDB4,12,yes
us.v10,.core1,func_80255498,40,yes
us.v10,.core1,func_80251F8C,256,yes
us.v10,.core1,osMotorStop,360,yes
us.v10,.core1,alFxParamHdl,604,yes
us.v10,.core1,func_8025A9D4,116,yes
us.v10,.core1,alFxParam,24,yes
us.v10,.core1,func_8024F2E4,68,yes
us.v10,.core1,func_802515D4,244,yes
us.v10,.core1,func_80251788,112,yes
us.v10,.core1,func_80255A30,12,yes
us.v10,.core1,func_8024CC50,12,yes
us.v10,.core1,osLeoDiskInit,256,yes
us.v10,.core1,func_802465D0,84,yes
us.v10,.core1,func_802583D8,76,yes
us.v10,.core1,func_802432F8,3212,no
us.v10,.core1,func_80257248,52,yes
us.v10,.core1,ml_vec3f_yaw_rotate_copy,144,yes
us.v10,.core1,func_8025098C,536,yes
us.v10,.core1,ml_vec2f_normalize,104,yes
us.v10,.core1,osEPiRawStartDma,548,yes
us.v10,.core1,func_8023DFF0,16,yes
us.v10,.core1,func_802560D0,432,yes
us.v10,.core1,func_8024C794,36,yes
us.v10,.core1,func_8025F3F0,64,yes
us.v10,.core1,func_8024FC6C,116,yes
us.v10,.core1,__ll_rem,60,yes
us.v10,.core1,func_8024E71C,172,yes
us.v10,.core1,___osGetSR,16,yes
us.v10,.core1,ml_vec3f_copy,28,yes
us.v10,.core1,func_8024692C,232,yes
us.v10,.core1,func_802562DC,156,yes
us.v10,.core1,func_8024DB50,180,yes
us.v10,.core1,func_802445AC,24,yes
us.v10,.core1,func_80251488,12,yes
us.v10,.core1,func_80248404,64,yes
us.v10,.core1,func_802599B4,112,yes
us.v10,.core1,func_8024C7B8,332,yes
us.v10,.core1,func_80247304,8,yes
us.v10,.core1,func_80255D04,8,yes
us.v10,.core1,func_80259554,344,yes
us.v10,.core1,func_80240AC8,276,yes
us.v10,.core1,func_80257AD4,68,yes
us.v10,.core1,func_80247F9C,52,yes
us.v10,.core1,func_80258994,56,yes
us.v10,.core1,func_802471EC,56,yes
us.v10,.core1,func_80244918,32,yes
us.v10,.core1,osPfsIsPlug,416,yes
us.v10,.core1,sns_generate_payload,64,yes
us.v10,.core1,func_8025AB00,68,yes
us.v10,.core1,func_802408EC,56,yes
us.v10,.core1,func_80255170,40,yes
us.v10,.core1,func_8024BDAC,132,yes
us.v10,.core1,func_80248098,436,yes
us.v10,.core1,func_80255B08,28,yes
us.v10,.core1,__n_initFromBank,180,yes
us.v10,.core1,func_80257C60,96,yes
us.v10,.core1,func_80255A04,16,yes
us.v10,.core1,func_8024792C,8,yes
us.v10,.core1,func_8025A1A8,148,yes
us.v10,.core1,func_8025ADBC,24,yes
us.v10,.core1,osPiRawStartDma,224,yes
us.v10,.core1,func_80253640,876,yes
us.v10,.core1,n_alSynSetPriority,12,yes
us.v10,.core1,__osSpSetPc,52,yes
us.v10,.core1,alEnvmixerParam,224,yes
us.v10,.core1,func_802407C0,132,yes
us.v10,.core1,sns_get_or_set_key,116,yes
us.v10,.core1,func_8024BE30,356,yes
us.v10,.core1,func_8025F4A0,36,yes
us.v10,.core1,__osSetTimerIntr,116,yes
us.v10,.core1,func_8026A824,232,yes
us.v10,.core1,sns_set_item_state,572,yes
us.v10,.core1,func_8024D9B0,416,yes
us.v10,.core1,__osContDataCrc,208,yes
us.v10,.core1,func_8024CD7C,12,yes
us.v10,.core1,ml_vec3f_scale,52,yes
us.v10,.core1,func_8023DC0C,208,yes
us.v10,.core1,mlMtxPop,24,yes
us.v10,.core1,func_80253540,12,yes
us.v10,.core1,draw_sprite_rgba16,512,yes
us.v10,.core1,alResamplePull,520,yes
us.v10,.core1,func_8024FEEC,72,yes
us.v10,.core1,_n_loadBuffer,324,yes
us.v10,.core1,__osPiRelAccess,44,yes
us.v10,.core1,alSaveNew,68,yes
us.v10,.core1,func_80255340,12,yes
us.v10,.core1,func_8024C510,116,yes
us.v10,.core1,func_802405C4,12,yes
us.v10,.core1,alCSPGetTempo,64,yes
us.v10,.core1,ml_vec3f_to_vec3w,60,yes
us.v10,.core1,func_80246744,80,yes
us.v10,.core1,func_8024BD80,20,yes
us.v10,.core1,__osContRamWrite,516,yes
us.v10,.core1,func_8025AF38,116,yes
us.v10,.core1,n_alSeqNewMarker,288,yes
us.v10,.core1,func_80240844,48,yes
us.v10,.core1,func_8025AD7C,64,yes
us.v10,.core1,func_8024FC1C,80,yes
us.v10,.core1,osVirtualToPhysical,124,yes
us.v10,.core1,func_8024FCE0,72,yes
us.v10,.core1,musicInstruments_init,632,yes
us.v10,.core1,func_80256740,300,yes
us.v10,.core1,osGetTime,132,yes
us.v10,.core1,func_80254348,44,yes
us.v10,.core1,osPfsInit,192,yes
us.v10,.core1,func_8024C5A8,36,yes
us.v10,.core1,func_802449E4,180,yes
us.v10,.core1,func_802534A8,36,yes
us.v10,.core1,func_8025C29C,68,yes
us.v10,.core1,__osSetGlobalIntMask,76,yes
us.v10,.core1,func_8025340C,20,yes
us.v10,.core1,func_802543EC,24,yes
us.v10,.core1,func_8024BFAC,44,yes
us.v10,.core1,func_80247750,28,yes
us.v10,.core1,func_8024C904,96,yes
us.v10,.core1,func_8024CD88,40,yes
us.v10,.core1,func_80246A64,32,yes
us.v10,.core1,func_8025AFC0,16,yes
us.v10,.core1,osSpTaskYield,32,yes
us.v10,.core1,alSeqNew,216,yes
us.v10,.core1,n_alCSeqNewMarker,364,yes
us.v10,.core1,func_8025A96C,104,yes
us.v10,.core1,spriteGetFrameCount,8,yes
us.v10,.core1,func_80250BA4,100,yes
us.v10,.core1,__ll_mul,48,yes
us.v10,.core1,func_80252DDC,112,yes
us.v10,.core1,__osEepStatus,544,yes
us.v10,.core1,func_80258640,112,yes
us.v10,.core1,func_80254A60,292,yes
us.v10,.core1,func_80248444,140,yes
us.v10,.core1,__osPfsRWInode,800,yes
us.v10,.core1,guTranslateF,72,yes
us.v10,.core1,func_8025AEEC,76,yes
us.v10,.core1,osSyncPrintf,28,yes
us.v10,.core1,alCSeqSecToTicks,252,yes
us.v10,.core1,func_8024632C,388,yes
us.v10,.core1,func_8024F400,80,yes
us.v10,.core1,n_alSynSetPan,120,yes
us.v10,.core1,func_8024AE74,100,yes
us.v10,.core1,sns_save_and_update_global_data,252,yes
